Date	ROSN	Si	BRN
20090101	111.16	37040	45.93
20090201	126.1	36085	45.84
20090301	146.59	34660	48.68
20090401	176.99	33495	50.64
20090501	206.51	30840	65.8
20090601	168	31729	69.42
20090701	191	31498	71.52
20090801	198.3	31980	69.32
20090901	227.2	30440	68.92
20091001	222.9	29493	75.09
20091101	233.81	29250	78.36
20091201	252.01	30277	77.93
20100101	236.25	30673	71.18
20100201	231.2	30043	78.03
20100301	233.56	29660	82.17
20100401	237.19	29303	87.35
20100501	228.86	30884	74.6
20100601	192.9	31480	74.66
20100701	203.19	30292	78.26
20100801	196.36	30868	74.42
20100901	203.52	30653	82.11
20101001	216.01	30890	83.26
20101101	207.77	31530	85.45
20101201	218.85	30710	94.59
20110101	255	29872	100.56
20110201	271.68	28826	112.1
20110301	270.7	28510	114.31
