DATE,AFLT,GAZP,KMAZ,LKOH,VTBR,URKA,TRNFP,SIBN,SBER,ROSN,RASP,PMTL,PLZL,OGK1,MMBM,GMKN,OGK2,OGK5,AVAZ,MTSI,SNGS,VZRZ
20090428,32.32,143,25.39,1457,0.0307,77.74,12480,85.61,26.1,163.67,51.2,201.7,1382,0.36,705,2635,0.434,0.909,10.93,161.4,22.851,439
20090429,32.51,149,30.8,1509,0.0317,79.35,13599.78,87.96,27.11,177.21,51.48,204.49,1389.44,0.409,710,2687.84,0.495,0.972,11.06,166.5,24.038,429
20090430,33.96,147.82,30.23,1481.99,0.0315,79.4,13538.51,88.74,27.8,176.99,53.9,202.76,1373.89,0.411,717.1,2775,0.491,0.974,10.753,164.64,23.5,426.99
20090504,34.98,155,34.87,1547.79,0.033,82.19,15044,93.38,29.28,181.55,57.49,204.9,1376.8,0.429,728,2898,0.493,1.029,11.001,173.09,24.274,434
20090505,35,161.3,33.7,1504,0.0332,82.5,14500,92.07,28.87,177.82,57.1,217,1419,0.419,709,2903,0.476,1.007,11.467,173.48,24,427.64
20090506,35.19,169.91,34.37,1565.97,0.0339,92.2,14240,93.99,29.38,181.74,58,212.54,1405.07,0.457,708,3038.99,0.522,1.132,11.34,175.52,23.959,457.99
20090507,35.49,171.61,36.36,1589,0.0361,96.8,14299.99,95.2,31.15,183.72,57.65,215.97,1407.5,0.448,707,3162,0.51,1.104,11.205,175.8,24.8,499
20090508,35.49,173.3,35.96,1631.51,0.0418,97.5,14516,96.49,32.27,181.6,59.23,214,1404.01,0.447,721.99,3231.56,0.515,1.149,11.303,181.6,25.3,501
20090512,36.99,179.05,37,1613.87,0.046,115.06,15635,99.7,33.65,187,60.79,216.4,1400,0.453,724.22,3384.99,0.535,1.13,11.403,175.01,26.2,535
20090513,33.78,167.19,36.75,1554.3,0.0424,109.3,15164.9,94.56,32.2,178.64,58.15,214.97,1369,0.416,714.9,3175.01,0.484,1.059,10.92,165,25.358,489.08
20090514,33.87,165.5,38,1547,0.0396,117.2,15149,95.48,31.69,174.99,54,227.13,1367.57,0.424,710,3150,0.495,1.059,10.875,162.33,26.06,499.78
20090515,33.98,166.24,36.92,1514.52,0.041,119.01,15040,98.99,32.98,173.71,55.56,229.95,1360.01,0.432,710,3140,0.498,1.039,10.71,163.14,25.437,503
20090518,35,170.31,36.8,1528.01,0.0437,115.3,15058.03,95.68,34.15,177.27,56.7,224,1355.18,0.446,710,3145.89,0.513,1.079,10.85,165.85,25.057,517.2
20090519,34.7,176.02,36.55,1546.99,0.0444,117.1,15037.88,95.35,36,181,58.76,224.79,1356.99,0.47,706,3349,0.519,1.089,10.8,169.1,24.777,514.99
20090520,34.93,183.24,36.84,1613.44,0.0467,119.01,15354.99,100.95,40.1,191.8,61.64,226.75,1372.72,0.525,713.7,3550,0.54,1.121,10.898,175.97,25.524,528
20090521,34.48,170.15,40.1,1534.5,0.0429,108.21,14605.05,95.87,37.45,180.55,57.5,230.79,1411,0.477,719,3400.99,0.498,1.067,14.149,163.97,24.069,504.75
20090522,34.34,174.17,38.9,1553.03,0.0442,109.21,14570,99.17,39.01,185.09,59.4,234,1421.96,0.491,707.18,3404.99,0.499,1.09,13.498,169,24.5,513
20090525,34.2,170.67,38.48,1548,0.0443,109.8,16200,99.34,39.4,185.05,62,236.6,1399.99,0.506,712.85,3322.51,0.5,1.113,13.11,167.5,24.374,518.99
20090526,33.75,170.15,36.66,1524,0.0428,106.8,15700,99.37,39.54,184.11,63.2,254.4,1352.99,0.497,709,3261.98,0.498,1.105,12.798,167.44,23.856,519.98
20090527,35,171.2,36.6,1530.97,0.0431,107.76,16150.03,100.8,40.8,190.61,65.05,277,1364,0.508,721,3360.11,0.514,1.109,12.401,170.25,24.17,513.95
20090528,35.13,172.56,37.51,1557.01,0.0437,106.59,16375,102.8,41.54,197.31,68.46,264,1397.04,0.501,725,3376.21,0.512,1.097,13.8,170.38,24.902,518.9
20090529,35.15,178.1,39.5,1641.05,0.0446,116.3,16750,105.32,44.13,206.51,69,268.99,1407,0.61,729,3480,0.56,1.135,13.799,175.6,25.847,548.95
20090601,34.99,191.5,43.33,1755.01,0.0486,123.48,18151,109.17,51.88,219.79,72.2,270,1444.5,0.644,735,3713,0.669,1.209,17.766,189.85,26.646,587.03
20090602,35.48,190.5,43.53,1735,0.0485,122.2,17839,107.16,53.38,219.6,71.4,268.03,1418.1,0.63,720,3670.01,0.711,1.206,18.252,187,25.833,684
20090603,35.1,175.1,40.32,1625.55,0.0437,113.93,16550,104.53,47.17,201.1,65.51,259.79,1403.1,0.61,717.16,3314.16,0.689,1.185,16.6,183.2,24.7,660
20090604,37.86,176.56,38.95,1675.6,0.0426,116.85,16750,107,49.47,200.11,66.47,263.01,1367.99,0.637,713.99,3280,0.713,1.18,17.25,184,25.197,670
20090605,37.3,182,39.24,1691.02,0.043,116.5,17050,110.51,50.75,202,69.82,269.3,1375.03,0.758,723.5,3370,0.759,1.265,17.498,188.33,25.315,675
20090608,37.24,177.15,40,1689.88,0.0427,116.01,17041,108.53,48.38,198.45,70.71,270.2,1342.93,0.786,716.88,3157.9,0.814,1.356,16.7,189.25,25.162,658.99
20090609,36.65,177.15,38.9,1649,0.0425,118.02,17200.95,107.21,49.2,195.01,71.2,274,1342.26,0.78,721,3145,0.833,1.4,16.438,185.23,24.425,651
20090610,36.5,181.04,39.12,1655,0.0423,119,18060,109.15,49.31,199.9,73,272.1,1350,0.769,732.99,3364.99,0.885,1.426,16.4,186.19,24.7,690.8
20090611,36.66,183.47,38.37,1659,0.0417,119.24,19110,108.33,47.98,201,76.7,271.01,1425,0.729,730.9,3495,0.861,1.39,16.178,183.3,25.52,699
20090615,35.5,173.8,36.2,1559.98,0.039,112.76,18540,105,43.92,188.5,81,273.21,1376,0.706,718.44,3215,0.893,1.37,15.395,179,23.7,675
20090616,35.74,176.47,37.72,1582.1,0.0406,114.7,19605.04,105.7,46.06,191.99,84.26,269.7,1389,0.713,720.28,3277,0.901,1.395,15.653,186.99,24.088,684
20090617,36.11,162.3,34.8,1514,0.0383,102.2,20301.1,103.1,43,180.98,75,256.99,1363.95,0.671,719.95,3032,0.846,1.372,17.302,179,23.6,668
